,Crop_Name,Crop_Variety,Crop_Category,Part_Used,Industry_Demand,Sowing_Months,Ideal_Soil_Types,Germination_Weather_JSON,Vegetative_Weather_JSON,Flowering_Fruiting_Weather_JSON,Harvesting_Weather_JSON,Nutrient_Needs_NPK,Expected_Yield_per_Acre,Post_Harvest_Handling,Crop_Duration_days_min,Crop_Duration_days_max,Optimal_pH_Range_min,Optimal_pH_Range_max
0,Rice,ADT 53,Cereal,Grain,"Food, Export",June-July,"Clay loam, alluvial, loamy","25-32°C, 85-95% RH","25-35°C, 70-90% RH","24-28°C, 60-80% RH","Dry, clear, 50-60% RH",120:40:40 kg/ha,23-25 qtl/acre,"Drying, milling, grading, storage",110.0,115.0,6.0,7.5
1,Rice,CO 51,Cereal,Grain,"Food, Export",June-July,"Clay loam, alluvial, loamy","25-32°C, 80-95% RH","25-35°C, 70-90% RH","24-28°C, 60-75% RH","Dry, clear, 50-60% RH",120:40:40 kg/ha,22-24 qtl/acre,"Drying, milling, grading, storage",105.0,110.0,6.0,7.5
2,Blackgram,VBN 6,Pulse,Grain,"Food, Dal, Feed",June-July,"Sandy loam, alluvial","27-30°C, 75-85% RH","28-32°C, 60-70% RH","25-28°C, 55-65% RH","Dry, clear, 40-55% RH",20:40:40 kg/ha,3-4 qtl/acre,"Drying, threshing, grading, storage",65.0,70.0,6.0,7.5
3,Cumin,GC-4,Cash Crop,Seed,"Spice, Export, Pharma",November-Mid December,"Sandy loam, Well-drained","18-22°C, 65-75% humidity","20-25°C, 50-60% humidity","22-26°C, 40-55% humidity","28-30°C, 30-40% humidity",50:25:0 kg/ha,4.5-5 quintals/acre,"Drying, Cleaning, Grading, Storage",100.0,120.0,6.8,8.3
4,Ber,Gola,Fruit,Fruit,"Food, Processing, Pickles",July-August,Sandy loam to loamy,"28-32°C, 60-70% humidity","30-35°C, 60% humidity","25-28°C, 50% humidity","30-35°C, 30-40% humidity",Data not available,50-60 quintals/acre,"Sorting, Packaging, Cold Storage",,,6.5,8.0
5,Onion,Agrifound Light Red,Vegetable,Bulb,"Food, Processing, Dehydration",October-November,"Sandy loam, Well-drained","20-25°C, 70-80% humidity","22-28°C, 60-70% humidity","24-30°C, 50-60% humidity","30-32°C, 40-50% humidity",120:60:60 kg/ha,100-120 quintals/acre,"Curing, Grading, Mesh Bag Storage",120.0,150.0,6.0,7.5
6,Tomato,Arka Rakshak,Vegetable,Fruit,"Food, Processing, Ketchup","June-July, October-November","Sandy loam, Well-drained","25-30°C, 70% humidity","25-30°C, 60-70% humidity","22-28°C, 60% humidity","28-32°C, 40% humidity",100:50:50 kg/ha,160-200 quintals/acre,"Sorting, Cooling, Transport to market",90.0,110.0,6.0,7.0
7,Ashwagandha,Jawahar Asg-1,Medicinal,Root,"Pharma, Ayurvedic industry",June-July,"Light red loam, Sandy loam","30-35°C, 50-60% humidity","28-32°C, 60% humidity","26-30°C, 50% humidity","28-32°C, 30-40% humidity",40:20:20 kg/ha,6-8 quintals/acre (dry root),"Washing, Drying, Grading, Storage",150.0,180.0,6.5,7.5
8,Wheat,HD-2967,Cereal,Grain,"Food, Processing",October-November,Loamy soil,"20-25°C, 70-80% humidity","15-25°C, 50-60% humidity","18-22°C, 40-60% humidity","25-30°C, 30-40% humidity",120:60:40 kg/ha,20-22 quintals/acre,"Threshing, Drying, Grading, Storage",140.0,150.0,6.0,7.5
9,Pearl Millet (Bajra),RHB-177,Cereal,Grain,"Food, Fodder, Feed",June-July,Sandy to sandy loam,"28-32°C, 55-65% humidity","30-35°C, 60-70% humidity","28-32°C, 40-50% humidity","35-38°C, 30-40% humidity",80:40:20 kg/ha,12-14 quintals/acre,"Drying, Winnowing, Storage",75.0,85.0,6.0,8.5
10,Mustard,NRCHB-101,Oilseed,Seed,"Oil, Food, Industrial Use",October-November,Sandy loam to clay loam,"18-22°C, 60-70% humidity","18-25°C, 50-60% humidity","20-25°C, 40-60% humidity","25-30°C, 30-40% humidity",100:50:50 kg/ha,10-12 quintals/acre,"Drying, Cleaning, Oil extraction",110.0,130.0,6.0,8.0
11,Moong (Green Gram),SML-668,Pulse,Grain,"Food, Dal processing",July-August,Sandy loam to loamy,"25-30°C, 60-75% humidity","28-32°C, 60-70% humidity","26-30°C, 45-55% humidity","32-35°C, 30-40% humidity",20:40:0 kg/ha,6-8 quintals/acre,"Drying, Cleaning, Storage",60.0,70.0,6.0,7.5
12,Isabgol (Psyllium),RI-89,Cash Crop,Seed Husk,"Pharma, Export",November,Light loamy soil,"18-22°C, 60-70% humidity","20-25°C, 50-60% humidity","20-24°C, 50-55% humidity","26-30°C, 30-40% humidity",Data not available,3-4 quintals/acre (husk),"Drying, Husk separation, Packaging",110.0,120.0,7.0,8.0
13,Pearl Millet (Bajra),RHB-177,Cereal,Grain,"Food, Fodder, Feed",June-July,Sandy to sandy loam,"28-32°C, 55-65% humidity","30-35°C, 60-70% humidity","28-32°C, 40-50% humidity","35-38°C, 30-40% humidity",80:40:20 kg/ha,12-14 quintals/acre,"Drying, Winnowing, Storage",75.0,85.0,6.0,8.5
14,Wheat,HD-3086,Cereal,Grain,"Food, Processing",November,"Loamy, Alluvial soils","20-25°C, 70-80% humidity","15-25°C, 50-60% humidity","18-22°C, 40-60% humidity","25-30°C, 30-40% humidity",120:60:40 kg/ha,22-24 quintals/acre,"Threshing, Drying, Grading, Storage",140.0,150.0,6.0,7.5
15,Mustard,RH-749,Oilseed,Seed,"Oil, Food, Industrial Use",October-November,Sandy loam to clay loam,"18-22°C, 60-70% humidity","18-25°C, 50-60% humidity","20-25°C, 40-60% humidity","25-30°C, 30-40% humidity",100:50:50 kg/ha,11-13 quintals/acre,"Drying, Cleaning, Oil Extraction",110.0,125.0,6.0,8.0
16,Chickpea (Gram),GNG-1958,Pulse,Grain,"Food, Dal processing",October-November,Sandy loam to loamy,"20-25°C, 60-70% humidity","20-25°C, 50-60% humidity","22-26°C, 45-55% humidity","28-30°C, 30-40% humidity",20:60:40 kg/ha,8-10 quintals/acre,"Drying, Cleaning, Storage",120.0,130.0,6.0,8.0
17,Moth Bean,RMO-225,Pulse,Grain,"Food, Fodder",June-July,Sandy to sandy loam,"30-35°C, 60% humidity","35-40°C, 50-60% humidity","30-35°C, 40-50% humidity","35-38°C, 30-40% humidity",20:40:0 kg/ha,4-5 quintals/acre,"Drying, Manual Threshing",70.0,80.0,6.5,8.0
18,Moong (Green Gram),IPM-02-3 (Virat),Pulse,Grain,"Food, Dal processing",June-July,Sandy loam,"25-30°C, 60-75% humidity","28-32°C, 60-70% humidity","26-30°C, 45-55% humidity","32-35°C, 30-40% humidity",20:40:0 kg/ha,7-8 quintals/acre,"Drying, Cleaning, Storage",60.0,65.0,6.5,7.5
19,Cotton,RCH-650 BG II,Fibre Crop,Fibre,"Textile, Oil industry","April-May, June","Black soil, Sandy loam","28-32°C, 60% humidity","30-35°C, 50-60% humidity","28-32°C, 50% humidity","30-35°C, 30-40% humidity",120:60:60 kg/ha,10-12 quintals/acre,"Ginning, Baling, Storage",160.0,180.0,6.0,8.0
20,Guar (Cluster Bean),RGC-936,Cash Crop,Seed,"Food, Gum industry, Fodder",July-August,Sandy to sandy loam,"30-35°C, 50-60% humidity","32-38°C, 50-60% humidity","30-35°C, 45% humidity","35-38°C, 30-40% humidity",20:40:0 kg/ha,6-7 quintals/acre,"Drying, Milling, Gum Extraction",90.0,110.0,7.0,8.2
