District,Pincode,Month,Avg_Min_Temp_C,Avg_Max_Temp_C,Avg_Rainfall_mm,Avg_Humidity_Percent,Avg_Sunlight_Hours,Year_Recorded
AJMER,305005,1,15.6,28.0,32.4,83.0,8.2,2024
AJMER,305005,2,24.3,44.2,80.0,33.6,7.3,2024
AJMER,305005,3,21.0,33.1,142.6,55.4,9.0,2024
AJMER,305005,4,19.0,42.5,8.5,62.1,7.7,2024
AJMER,305005,5,12.3,28.8,25.8,77.3,7.4,2024
AJMER,305005,6,12.3,36.0,21.2,82.0,9.7,2024
AJMER,305005,7,10.9,25.5,117.1,63.7,6.4,2024
AJMER,305005,8,23.0,40.3,48.6,22.5,9.1,2024
AJMER,305005,9,19.0,36.6,33.3,53.7,8.3,2024
AJMER,305005,10,20.6,37.5,118.6,81.9,9.2,2024
AJMER,305005,11,10.3,26.0,152.3,70.0,7.9,2024
AJMER,305005,12,24.5,29.2,66.4,80.9,9.4,2024
AJMER,305023,1,22.5,26.5,115.6,67.2,6.5,2024
AJMER,305023,2,13.2,30.8,19.6,23.1,8.3,2024
AJMER,305023,3,12.7,37.5,187.0,87.8,7.4,2024
AJMER,305023,4,12.8,36.3,67.4,84.3,8.6,2024
AJMER,305023,5,14.6,37.2,199.5,28.9,8.4,2024
AJMER,305023,6,17.9,36.0,195.7,27.9,9.8,2024
AJMER,305023,7,16.5,30.5,155.8,57.7,9.8,2024
AJMER,305023,8,14.4,29.9,4.0,73.0,8.5,2024
AJMER,305023,9,19.2,27.7,108.7,46.8,7.1,2024
AJMER,305023,10,12.1,42.0,17.4,29.5,9.5,2024
AJMER,305023,11,14.4,37.3,179.0,55.7,11.8,2024
AJMER,305023,12,15.5,28.7,157.9,43.6,7.1,2024
AJMER,305024,1,16.8,28.5,194.5,44.6,6.4,2024
AJMER,305024,2,21.8,42.5,121.7,65.1,7.6,2024
AJMER,305024,3,13.0,39.9,104.4,82.0,8.5,2024
AJMER,305024,4,17.7,38.2,103.8,59.1,7.8,2024
AJMER,305024,5,18.9,33.1,77.3,68.1,11.0,2024
AJMER,305024,6,10.7,30.2,93.7,66.2,9.0,2024
AJMER,305024,7,19.1,44.6,127.1,58.6,7.5,2024
AJMER,305024,8,12.6,40.9,186.6,41.8,11.7,2024
AJMER,305024,9,11.0,31.0,119.2,46.4,6.8,2024
AJMER,305024,10,24.2,42.0,171.4,42.1,6.7,2024
AJMER,305024,11,24.5,40.2,172.6,84.2,7.5,2024
AJMER,305024,12,22.1,30.9,103.8,77.9,6.5,2024
AJMER,305205,1,14.6,33.5,69.5,60.6,10.5,2024
AJMER,305205,2,11.5,28.7,127.9,83.9,7.9,2024
AJMER,305205,3,20.3,27.2,89.2,82.0,10.4,2024
AJMER,305205,4,16.6,39.5,16.3,84.9,10.6,2024
AJMER,305205,5,11.8,30.4,75.6,35.5,7.4,2024
AJMER,305205,6,17.4,41.4,198.8,70.2,9.1,2024
AJMER,305205,7,10.5,44.9,9.7,62.6,9.1,2024
AJMER,305205,8,23.6,26.5,139.3,71.4,11.2,2024
AJMER,305205,9,13.9,34.5,168.2,38.4,6.2,2024
AJMER,305205,10,19.9,41.0,129.7,68.6,7.9,2024
AJMER,305205,11,14.7,40.8,113.9,48.7,11.3,2024
AJMER,305205,12,17.8,40.2,141.5,78.4,7.4,2024
AJMER,305206,1,18.2,32.0,85.9,75.7,6.8,2024
AJMER,305206,2,12.8,34.1,18.3,34.8,9.5,2024
AJMER,305206,3,24.5,36.9,192.5,32.9,7.8,2024
AJMER,305206,4,21.6,44.5,86.5,70.2,8.8,2024
AJMER,305206,5,24.1,31.6,133.1,58.5,10.9,2024
AJMER,305206,6,23.4,43.5,106.3,59.0,9.1,2024
AJMER,305206,7,19.0,30.4,10.9,72.7,9.1,2024
